epoch, training loss, rmse loss, validation loss
693,32.049,32.049,0.000
694,32.022,32.022,0.000
695,32.052,32.052,0.000
696,32.023,32.023,0.000
697,32.050,32.050,0.000
698,31.997,31.997,0.000
699,32.038,32.038,0.000
700,32.077,32.077,0.000
701,31.945,31.945,0.000
702,32.085,32.085,0.000
703,31.972,31.972,0.000
704,32.000,32.000,0.000
705,32.040,32.040,0.000
706,32.029,32.029,0.000
707,32.077,32.077,0.000
708,32.044,32.044,0.000
709,32.020,32.020,0.000
710,32.035,32.035,0.000
711,31.901,31.901,0.000
712,31.989,31.989,0.000
713,32.005,32.005,0.000
714,32.012,32.012,0.000
715,32.057,32.057,0.000
716,32.089,32.089,0.000
717,32.099,32.099,0.000
718,32.096,32.096,0.000
719,32.067,32.067,0.000
720,32.005,32.005,0.000
721,32.075,32.075,0.000
722,32.070,32.070,0.000
723,32.051,32.051,0.000
724,32.053,32.053,0.000
725,32.104,32.104,0.000
726,32.022,32.022,0.000
727,31.895,31.895,0.000
728,31.955,31.955,0.000
729,32.104,32.104,0.000
730,32.073,32.073,0.000
731,32.031,32.031,0.000
732,31.958,31.958,0.000
733,32.006,32.006,0.000
734,31.990,31.990,0.000
735,32.042,32.042,0.000
736,32.070,32.070,0.000
737,32.043,32.043,0.000
738,32.032,32.032,0.000
739,31.995,31.995,0.000
740,32.015,32.015,0.000
741,32.122,32.122,0.000
742,32.070,32.070,0.000
743,32.047,32.047,0.000
744,32.115,32.115,0.000
745,32.039,32.039,0.000
746,31.978,31.978,0.000
747,31.998,31.998,0.000
748,31.984,31.984,0.000
749,32.055,32.055,0.000
750,31.978,31.978,0.000
751,32.056,32.056,0.000
752,31.999,31.999,0.000
753,32.067,32.067,0.000
754,32.050,32.050,0.000
755,32.073,32.073,0.000
756,32.007,32.007,0.000
757,32.069,32.069,0.000
758,32.037,32.037,0.000
759,32.036,32.036,0.000
760,31.908,31.908,0.000
761,31.947,31.947,0.000
762,32.038,32.038,0.000
763,31.933,31.933,0.000
764,31.967,31.967,0.000
765,31.998,31.998,0.000
766,31.985,31.985,0.000
767,31.998,31.998,0.000
768,32.024,32.024,0.000
769,31.955,31.955,0.000
770,32.024,32.024,0.000
771,32.057,32.057,0.000
772,31.937,31.937,0.000
773,32.073,32.073,0.000
774,31.936,31.936,0.000
775,32.011,32.011,0.000
776,32.007,32.007,0.000
777,31.973,31.973,0.000
778,32.008,32.008,0.000
779,31.996,31.996,0.000
780,32.014,32.014,0.000
781,32.076,32.076,0.000
782,31.910,31.910,0.000
783,32.075,32.075,0.000
784,32.026,32.026,0.000
785,32.022,32.022,0.000
786,31.903,31.903,0.000
787,31.961,31.961,0.000
788,31.921,31.921,0.000
789,31.991,31.991,0.000
790,31.994,31.994,0.000
791,32.059,32.059,0.000
792,32.041,32.041,0.000
793,32.024,32.024,0.000
794,31.966,31.966,0.000
795,32.024,32.024,0.000
796,31.992,31.992,0.000
797,32.010,32.010,0.000
